GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},97,0,2,0,17,0,3,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},142,0,2,0,24,0,3,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},112,0,2,0,17,0,3,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},84,0,2,0,10,0,3,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new HashMap() {...},26,0,0,0,6,0,1,0,1,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtenActionBean,406,0,28,0,103,0,41,0,27,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},16,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtDoorsturenUitvoerActionBean,222,0,6,0,70,0,36,0,33,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},241,0,28,0,34,0,16,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BasisregistratieFileUploadActionBean,458,0,30,0,72,0,25,0,10,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},186,0,18,0,43,0,11,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new ResultSetHandler() {...},216,0,28,0,30,0,16,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BGTOphalenUitvoerActionBean,247,0,6,0,78,0,38,0,35,0
BRMO service,nl.b3p.brmo.service.stripes,LaadprocesTransformatieUitvoerActionBean,281,0,10,0,82,0,39,0,34,0
