GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream.new HttpStartRangeInputStreamProvider() {...},59,0,6,0,12,0,5,0,2,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream.new Java11HttpClientWrapper() {...},43,0,4,0,10,0,5,0,3,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,BGTDatabase,420,0,37,0,107,0,36,0,17,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer.new Iterator() {...},66,298,13,43,14,72,13,19,0,4
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream,23,0,0,0,5,0,3,0,3,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,ProgressReporter,296,0,19,0,65,0,26,0,15,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer.MutatieInhoud,0,20,0,0,0,6,0,5,0,5
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer,54,516,9,54,12,124,11,37,2,12
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,Utils,63,82,0,8,14,9,7,7,7,3
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.loader,BGTDatabase.SQLDialectEnum,15,0,0,0,3,0,1,0,1,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,PostgresCopyEscapeUtils.new CharSequenceTranslator() {...},0,67,0,12,0,17,0,8,0,2
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,PostGISCopyInsertBatch,52,195,5,21,7,52,5,15,0,7
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,QueryBatch,1,4,0,0,1,3,0,1,0,1
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,PreparedStatementQueryBatch,33,151,3,11,6,38,3,11,0,7
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,PostgresCopyEscapeUtils,3,8,0,0,1,2,1,2,1,2
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,LoggingQueryRunner,295,47,4,2,60,12,32,6,29,6
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.sql,GeometryHandlingPreparedStatementBatch,0,43,0,2,0,9,0,3,0,2
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi,348,0,30,0,85,0,25,0,10,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.download.api,DeltaApi.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
BRMO BAG 2.0 loader/bgt-loader,nl.b3p.brmo.bgt.download.api,DownloadApiUtils,151,0,12,0,37,0,9,0,3,0
