GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream.new HttpStartRangeInputStreamProvider() {...},59,0,6,0,11,0,5,0,2,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream.new Java11HttpClientWrapper() {...},43,0,4,0,9,0,5,0,3,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTDatabase,431,0,40,0,90,0,38,0,17,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer.new Iterator() {...},68,306,17,47,12,68,17,19,0,4
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream,23,0,0,0,5,0,3,0,3,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ProgressReporter,295,0,19,0,50,0,26,0,15,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer.MutatieInhoud,0,20,0,0,0,6,0,5,0,5
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer,56,522,11,56,11,120,13,37,2,12
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,Utils,144,0,8,0,22,0,13,0,9,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTDatabase.SQLDialectEnum,34,0,0,0,4,0,1,0,1,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PostgresCopyEscapeUtils.new CharSequenceTranslator() {...},0,67,0,12,0,17,0,8,0,2
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PostGISCopyInsertBatch,247,0,26,0,57,0,20,0,7,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,QueryBatch,5,0,0,0,4,0,1,0,1,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PreparedStatementQueryBatch,184,0,14,0,42,0,14,0,7,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PostgresCopyEscapeUtils,3,8,0,0,1,2,1,2,1,2
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,LoggingQueryRunner,342,0,6,0,72,0,38,0,35,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,GeometryHandlingPreparedStatementBatch,43,0,2,0,9,0,3,0,2,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi,338,0,26,0,85,0,23,0,10,0
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaApi.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
